word,idf,doc_num,index,保险,银行债券,基金,外汇,期货,科技,股票,黄金,total_freq
涨幅,3.081628379489369,1851,0,56,39,380,499,448,21,1262,985,3690
工业,4.324692762052591,782,1,25,22,67,198,200,105,683,255,1555
超过,2.092974378628285,3673,2,652,514,1140,381,446,564,2656,466,6819
当天,4.9555779817207855,505,3,33,26,26,61,77,76,343,85,727
指数,2.355458991860155,3062,4,95,244,1934,2218,545,98,2499,3334,10967
涨跌,6.077736564232371,232,5,3,1,26,56,62,4,81,78,311
纽约,4.773326230603038,573,6,11,2,5,229,78,22,176,288,811
领涨,6.543400136581182,168,7,3,0,17,17,22,1,144,5,209
三大,4.270381642174766,812,8,78,47,76,99,70,107,523,78,1078
综合,3.450894665097797,1433,9,663,148,162,100,205,102,707,83,2170
十一大,9.848254718109605,17,10,0,1,0,0,0,2,14,0,17
标准,3.9329025437528884,1026,11,250,213,129,166,236,149,532,145,1820
板块,3.726264193730993,1184,12,192,74,495,73,159,59,1904,47,3003
收盘,3.7299243099627852,1181,13,18,40,81,322,195,77,797,457,1987
交易日,3.440861974868745,1443,14,23,46,106,478,315,37,976,535,2516
日电,5.022828223129981,482,15,37,31,23,51,101,19,184,37,483
道琼斯,5.517865044474045,342,16,1,5,18,96,19,7,125,158,429
股票指数,7.981521248973068,62,17,0,3,16,6,0,0,39,5,69
房地产,4.657268101139461,621,18,107,222,98,64,113,40,579,96,1319
跌,3.552013266885891,1336,19,7,26,85,255,339,37,1518,438,2705
材料,5.496925706781681,347,20,73,53,57,8,58,26,290,11,576
比前,6.947032872587777,127,21,3,1,0,4,82,1,140,7,238
普尔,6.736045214523578,147,22,0,9,2,43,13,2,64,69,202
涨,3.9670507661647343,1002,23,10,14,38,110,308,9,979,149,1617
股指,4.678329716667291,612,24,14,6,57,115,133,5,546,106,982
点,3.0348507513791945,1912,25,68,94,281,937,258,119,2318,1075,5150
下跌,2.089051877460205,3683,26,84,138,933,1622,1309,169,2442,3062,9759
标普,4.431891821364192,726,27,2,14,47,256,28,11,471,362,1191
新华社,4.582570733861861,654,28,38,26,8,67,126,36,308,79,688
能源,4.593642891360804,649,29,24,84,39,100,568,17,550,150,1532
收于,4.7859704398552605,568,30,9,17,4,54,168,4,285,337,878
跌幅,3.139677950530173,1778,31,47,61,559,506,364,59,1254,838,3688
股市,3.107581075165836,1818,32,71,108,377,654,85,16,1529,1119,3959
纳斯达克,5.1028275451952005,456,33,6,4,73,117,7,30,292,147,676
平均,3.2396193884040794,1659,34,206,320,684,223,173,145,858,297,2906
上涨,2.147407055659024,3537,35,162,121,560,1270,1607,109,1995,3460,9284
领跌,6.947032872587777,127,36,1,2,9,16,16,0,87,21,152
公众,5.211203706239993,423,37,64,25,36,81,32,161,172,41,612
反馈,6.1808300571964745,216,38,34,39,51,12,27,31,89,5,288
意见,4.486568913984506,699,39,136,177,107,62,109,42,650,32,1315
社会,4.073080201801149,931,40,445,180,256,71,217,153,342,18,1682
实施,3.1967808776838034,1709,41,319,219,174,241,317,88,1042,258,2658
身份,6.221472041693819,210,42,45,27,21,22,9,40,103,8,275
更大,4.675974295669161,613,43,76,54,53,96,71,56,160,118,684
确保,4.848254718109604,544,44,134,65,46,85,95,52,153,32,662
组建,6.509452804657845,172,45,46,35,32,4,18,21,45,6,207
家,2.9016064132633503,2097,46,1209,734,980,63,461,278,2991,72,6788
畅通,8.765792557917631,36,47,17,5,2,1,4,1,11,2,43
属性,5.801291239139016,281,48,63,20,87,12,26,33,50,55,346
建立,3.89679857006764,1052,49,299,137,185,84,155,126,455,115,1556
名,4.9555779817207855,505,50,82,44,133,70,40,86,395,33,883
机构,2.3951051511104127,2979,51,954,1266,1759,494,606,291,2411,278,8059
基础,3.3210077152447344,1568,52,371,231,226,137,261,165,839,113,2343
市场,0.8896167143311409,8458,53,1894,1923,4734,4613,5190,1734,11665,5813,37566
全国,3.7009001282426186,1205,54,392,192,161,55,717,223,594,37,2371
大小,7.726264193730993,74,55,4,9,10,0,20,18,38,2,101
保持一致,7.207797104796743,106,56,9,7,18,23,8,9,19,32,125
三期,9.291861369585218,25,57,4,2,1,1,2,0,20,0,30
监管部门,5.028826963751425,480,58,230,161,52,14,27,46,169,10,709
利用,4.22147204169382,840,59,163,67,82,69,230,146,393,60,1210
激励,5.750842216451659,291,60,62,42,93,1,5,34,279,7,523
江聃,10.028826963751424,15,61,1,1,3,0,4,0,6,0,15
覆盖全国,9.61378946447258,20,62,8,3,3,0,2,4,2,0,22
执行,3.753323205955414,1162,63,151,114,87,71,191,128,957,73,1772
成效,6.569395345114127,165,64,58,28,14,7,16,18,49,3,193
多种形式,9.180830057196475,27,65,6,1,7,1,3,3,7,0,28
贡献,4.819373598122475,555,66,79,36,79,22,44,90,327,55,732
把握,5.721398438559177,297,67,57,47,87,15,33,17,87,22,365
依托,6.034850751379194,239,68,74,29,33,4,20,33,87,3,283
